# 낭독 발음 사전 — 자막(data-say)에는 표기, 음성(data-read)에는 읽는 대로.
# 표기,읽는 대로,비고
ICN,아이씨엔,국제간호협의회
WHO,더블유에이치오,세계보건기구
SBAR,에스바,상황·배경·사정·제안
ISBAR,아이에스바,
ABCDE,에이 비 씨 디 이,
CPR,씨피알,심폐소생술
AED,에이이디,자동심장충격기
EWS,이더블유에스,조기경고점수
NEWS,뉴스,National Early Warning Score
GCS,지씨에스,글래스고 혼수척도
AVPU,에이브이피유,
OSCE,오스키,
PPE,피피이,개인보호구
IV,아이브이,정맥
IM,아이엠,근육
SC,에스씨,피하
PO,피오,경구
NPO,엔피오,금식
NG,엔지,비위관
BP,비피,혈압
HR,에이치알,심박수
RR,알알,호흡수
SpO2,에스피오투,산소포화도
BT,비티,체온
BMI,비엠아이,
QI,큐아이,질 향상
HAI,에이치에이아이,의료관련감염
MRSA,엠알에스에이,
VRE,브이알이,
CAUTI,카우티,도뇨관 관련 요로감염
CLABSI,클랩시,중심정맥관 관련 혈류감염
VAP,브이에이피,인공호흡기 관련 폐렴
5 Right,파이브 라이트,
mmHg,밀리미터 수은주,
mL,밀리리터,
mg,밀리그램,
mcg,마이크로그램,
kg,킬로그램,
cm,센티미터,
°C,도,섭씨
%,퍼센트,
1차,일차,
2차,이차,
3차,삼차,
5개,다섯 개,
4개,네 개,
3개,세 개,
2개,두 개,
